"","x"
"347",1.87667092637951e-06
"348",1.78748203235165e-06
"349",1.70250398611949e-06
"350",1.62153932065194e-06
"351",1.54439976493606e-06
"352",1.4709058187977e-06
"353",1.40088634723389e-06
"354",1.33417819336706e-06
"355",1.27062580917273e-06
"356",1.21008090317076e-06
"357",1.15240210430717e-06
"358",1.09745464128839e-06
"359",1.04511003666341e-06
"360",9.95245814980722e-07
"361",9.47745224377839e-07
"362",9.0249697098995e-07
"363",8.5939496559211e-07
"364",8.18338081915898e-07
"365",7.79229926106791e-07
"366",7.4197861684112e-07
"367",1e-05
"368",1.1205251071278e-05
"369",1.23877150964428e-05
"370",1.36460750661295e-05
"371",1.5013685818315e-05
"372",1.6508581664928e-05
"373",1.81449975693828e-05
"374",1.99366808032861e-05
"375",2.18979908955598e-05
"376",2.40443180537604e-05
"377",2.63922899809716e-05
"378",2.89599114784878e-05
"379",3.17666859060741e-05
"380",3.48337354910008e-05
"381",3.81839265830122e-05
"382",4.18420022402816e-05
"383",4.5834723268767e-05
"384",5.01910184125114e-05
"385",5.49421442539992e-05
"386",6.01218553425377e-05
"387",6.57665850596223e-05
"388",7.19156377307143e-05
"389",7.86113924947347e-05
"390",8.58995194427181e-05
"391",9.38292085340272e-05
"392",0.000102453411791345
"393",0.000111829099263533
"394",0.000122017529227518
"395",0.000133084533075747
"396",0.000145100815303414
"397",0.000158142266863151
"398",0.000172245981388285
"399",0.00018744094593469
"400",0.000203795480892084
"401",0.000221379858972355
"402",0.00024026666010313
"403",0.000260530781292475
"404",0.000282249354553859
"405",0.000305501621955639
"406",0.000330368780015751
"407",0.000356933796152084
"408",0.000385281197178805
"409",0.000415496829049195
"410",0.000447667586861675
"411",0.00048188111417242
"412",0.000518225470770203
"413",0.000556788768226544
"414",0.000597658772723869
"415",0.000640922475345832
"416",0.00068666562750988
"417",0.00073497224655145
"418",0.000785924086898973
"419",0.000839600079986976
"420",0.000896075744613551
"421",0.000955422568429204
"422",0.00101770736293285
"423",0.00108299159440473
"424",0.00115133069364077
"425",0.00122277334783249
"426",0.0012973607784043
"427",0.00137512600909746
"428",0.00145609313139141
"429",0.00154056298357439
"430",0.00162888316567357
"431",0.0017211436973454
"432",0.00181743317318505
"433",0.00191783592254394
"434",0.00202243081318496
"435",0.00213129032845891
"436",0.00224447974781354
"437",0.00236205631856523
"438",0.0024840684182434
"439",0.00261055469739552
"440",0.00274154320634855
"441",0.0028770505066267
"442",0.00301708077259374
"443",0.00316162489911084
"444",0.00331065960900568
"445",0.00346414657130242
"446",0.00362203153794999
"447",0.00378424350720936
"448",0.00395069392013094
"449",0.00412127589430176
"450",0.00429586352930723
"451",0.00447431127157015
"452",0.00465645335139186
"453",0.00484210330531424
"454",0.00503105359170415
"455",0.00522307530394812
"456",0.00541791802236765
"457",0.00561530978685383
"458",0.00581495720280212
"459",0.00601779165101653
"460",0.00622486139972237
"461",0.00643603506170234
"462",0.00665117243967379
"463",0.00687011749565281
"464",0.00709269590721177
"465",0.00731871391881775
"466",0.00754795766470701
"467",0.00778019269659867
"468",0.00801516365137861
"469",0.00825259403683517
"470",0.00849218613603556
"471",0.0087336210362014
"472",0.00897655879011072
"473",0.00922063871803668
"474",0.00946547985901293
"475",0.00971068157745361
"476",0.0099558243311511
"477",0.0102004706053843
"478",0.0104441660162333
"479",0.010686440584587
"480",0.0109268101805341
"481",0.0111647781359018
"482",0.0113998370206627
"483",0.0116314705768019
"484",0.0118591558010522
"485",0.0120823651654099
"486",0.0123005689640192
"487",0.0125132377679248
"488",0.0127198449740917
"489",0.0129198694222318
"490",0.0131128283450499
"491",0.0132982536644902
"492",0.0134756582271585
"493",0.0136445709109069
"494",0.0138045391751439
"495",0.0139551315992098
"496",0.0140959403515358
"497",0.0142265835516876
"498",0.0143467074968722
"499",0.0144559887286545
"500",0.0145541359182078
"501",0.0146408915506457
"502",0.0147160333912747
"503",0.0147793757190751
"504",0.0148307703153918
"505",0.0148701071986158
"506",0.0148973150984181
"507",0.0149123616683406
"508",0.0149152534313935
"509",0.0149060354689032
"510",0.0148847908525517
"511",0.0148516398313697
"512",0.0148067387839545
"513",0.0147502789500291
"514",0.0146824849571658
"515",0.0146036131605112
"516",0.0145139498147939
"517",0.0144138090981788
"518",0.0143035310122508
"519",0.0141834791785939
"520",0.0140540385477296
"521",0.013916003482171
"522",0.0137701667704486
"523",0.0136169289403309
"524",0.013456699400792
"525",0.0132898948278394
"526",0.0131169373757598
"527",0.0129382527631763
"528",0.0127542684351336
"529",0.012565411779945
"530",0.0123721084316826
"531",0.0121747806629209
"532",0.0119738458768761
"533",0.0117697152038567
"534",0.0115627922061251
"535",0.0113534716936949
"536",0.0111421386524252
"537",0.0109291672845847
"538",0.0107149201611433
