"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.99999,0,0,0,0,0,0,0,0,0
"2",0.332263573307044,0.24072876658716,0,0,0,0.323204088217505,0.103793571888291,0,0,0
"3",0.353858490135899,0.0184997307046412,0.121473461310586,0.0357750518064749,0.0217628874116534,0.354376701277066,0.0101002918331087,0.0591240906202298,0.015500121493369,0.00951917340697259
"4",0.354228104150751,0.0557692944829709,0.0979937989669158,0.0172341500816716,0.0384208884687126,0.335112418010963,0.0207339127250884,0.0558514172187134,0.00661010730579405,0.0180359085884186
"5",0.331756549126494,0.0213415422681935,0.12420230291079,0.022203702635116,0.034535767087856,0.347719313309071,0.00847770436938775,0.080501693344987,0.0101109935079125,0.019140431440192
"6",0.336890759248235,0.0981239380835798,0.0136303525042503,0.0414245016641065,0.0205753114349334,0.389180441836874,0.0556000038355085,0.00785331872176328,0.024469957162674,0.012241415508075
"7",0.207185077815104,0.0322550920536763,0.237543206573894,0.0081824488084747,0.00686664377848612,0.227309867946022,0.026564426513817,0.244396870541561,0.00525678123145359,0.0044295847375113
"8",0.308833129731203,0.148802184681637,0.00280112449174758,0.0344911805601326,0.0214454101825369,0.354691705096253,0.0956779703363158,0.00182518902326866,0.019332125852347,0.0120899800445591
"9",0.266878244432723,0.0392149732718438,0.174452147585906,0.0204089973950595,0.0115262115649751,0.305656557707386,0.0297596846749918,0.133118283578743,0.0123058003409888,0.00666909944738349
"10",0.332220507373586,0.0510624764606009,0.0886456298273469,0.0876142231866022,0.00865994287106912,0.301821140918429,0.0209550975232675,0.0617439120160169,0.0441768830579202,0.00309018676516077
"11",0.23489679668688,0.0354665501225001,0.153449184617083,0.0236514907663062,0.0377616938006587,0.274990338808392,0.0261313480379565,0.162953392704265,0.0195372797044218,0.0311519247515368
