"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.99999,0,0,0,0,0,0,0,0,0
"2",0.332263573307044,0.24072876658716,0,0,0,0.323204088217505,0.103793571888291,0,0,0
"3",0.353858490135899,0.0184997307046412,0.121473461310586,0.0357750518064749,0.0217628874116534,0.354376701277066,0.0101002918331087,0.0591240906202298,0.015500121493369,0.00951917340697259
"4",0.354228104150751,0.0557692944829709,0.0979937989669158,0.0172341500816716,0.0384208884687126,0.335112418010963,0.0207339127250884,0.0558514172187134,0.00661010730579405,0.0180359085884186
"5",0.331756549126494,0.0213415422681935,0.12420230291079,0.022203702635116,0.034535767087856,0.347719313309071,0.00847770436938775,0.080501693344987,0.0101109935079125,0.019140431440192
"6",0.336890759248235,0.0981239380835798,0.0136303525042503,0.0414245016641065,0.0205753114349334,0.389180441836874,0.0556000038355085,0.00785331872176328,0.024469957162674,0.012241415508075
"7",0.210618582828299,0.0347060228505166,0.231184789449654,0.00844556031882131,0.00707753053624927,0.234614739284392,0.0286664227749183,0.234699709715381,0.00541786979423096,0.0045587724475376
"8",0.310093195427728,0.146641767979702,0.00319475086482989,0.0348122388868479,0.0216310897783394,0.355653277694508,0.0942081395074902,0.00207708085453454,0.0194945233530069,0.0121839356530129
"9",0.266970012238392,0.0403598671692342,0.173342710936588,0.0203146407900926,0.0114933452180102,0.305713742791939,0.0306306644551881,0.132264785866106,0.0122496853751218,0.00665054515932868
"10",0.331811004340288,0.0501919086540814,0.0899362218173103,0.087601624677065,0.00866202205733773,0.301307448052272,0.0206004782504306,0.0626249075928447,0.0441635103994365,0.00309087415893344
"11",0.235303162696436,0.0359612030664476,0.152243154351065,0.0237656543652895,0.0379525432823497,0.275607647298002,0.0264942902655058,0.161718646306589,0.0196324871293842,0.0313112112389317
