85.81603511,0.187554117,0.06129127,0.449469313
23.83367994,38.79410532,1.854645285,29.36521702
9.08624956,25.77081635,4.835822937,5.238808182
5.676059873,105.1080418,45.26028395,25.45890972
77.87747102,10.51189896,14.22714301,8.002767943
0.68519644,130.9948765,34.21596941,19.24648279
52.83565589,15.36003839,13.06253822,6.002261991
3.829354352,120.1384547,22.15070426,8.672583035
28.62883062,159.3602478,54.62085869,6.555852777
80.62203559,64.05256185,1.673366628,3.45503047
70.067018,6.476124265,0.711502442,44.30191734
